features__type,features__properties__SOURCE_GID,features__properties__SOURCE_NAME,features__properties__MOVEMENT_ID,features__properties__DISPLAY_NAME,features__geometry__type,features__geometry__coordinates__001,features__geometry__coordinates__002,path
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8402539,18.9488085,1
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8403027,18.9488043,2
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8404167,18.9488308,3
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8404277,18.9488334,4
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8405491,18.9488615,5
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8405916,18.9488714,6
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8406515,18.9488853,7
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8406655,18.9488885,8
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8407009,18.9488941,9
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8408305,18.9489146,10
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8409688,18.9489364,11
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8412462,18.9489802,12
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8413528,18.9489923,13
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8413776,18.9489952,14
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8415037,18.9489912,15
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8415795,18.948936,16
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8416332,18.948936,17
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8416339,18.948936,18
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8416884,18.9489359,19
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8417421,18.9489359,20
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8418208,18.9489358,21
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8420336,18.9489357,22
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8420733,18.9489357,23
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8423055,18.9489355,24
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8423055,18.9489355,25
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8448365,18.9484023,26
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8455793,18.9482339,27
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8455938,18.9482314,28
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8456183,18.9482273,29
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8456551,18.9482212,30
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8468076,18.9480288,31
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8467307,18.9476046,32
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8460021,18.9446722,33
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8458364,18.9441059,34
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8457549,18.9439546,35
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8457498,18.9439269,36
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8457384,18.9438644,37
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8457,18.9437146,38
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8456999,18.9437143,39
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8456238,18.9434173,40
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8455257,18.9430302,41
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8454638,18.9427854,42
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8454267,18.9426392,43
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8453541,18.9423526,44
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8452395,18.9419197,45
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8452242,18.9418711,46
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8452019,18.9417818,47
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8451829,18.9417047,48
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8451727,18.9416636,49
Feature,1,A,1,"0 Purushottamdas Thakurdas Road, Azad Maidan, Fort, Mumbai",MultiPolygon,72.8451364,18.9414254,50
